Player,player_id,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL team key,Overs,Mdns,Runs conceeded,Wkts,BBI,Bowling Ave,Econ,Bowling SR,4 wicket hauls,5 wicket hauls,Ct
Sandeep Sharma,438362,96,25,19,52,9,15.60,35,81.97,0,0,4,4,0,107,356.2,8,2781,110,3/19,26.48,7.81,20.30,2,0,11
Abdul Samad,1175485,17,13,4,175,33,19.44,112,156.25,0,0,1,11,10,107,7,0,96,1,1/41,96.00,13.71,42.00,0,0,9
KK Ahmed,942645,23,3,0,1,1,0.33,5,20.00,0,0,2,0,0,107,87.3,0,764,32,3/21,23.87,8.73,16.40,0,0,1
Mohammad Nabi,25913,16,13,2,177,31,16.09,115,153.91,0,0,0,16,9,107,54.1,0,375,13,4/11,28.84,6.92,25.00,1,0,6
Rashid Khan,793463,70,30,9,178,34*,8.47,125,142.40,0,0,9,11,13,107,278,4,1735,86,3/7,20.17,6.24,19.30,0,0,20
A Mishra,31107,154,56,25,362,31,12.05,217,99.09,0,0,10,29,5,103,540.5,6,3976,166,5/17,24.27,7.35,19.80,4,1,21
JD Unadkat,390484,84,20,12,99,26,2.88,78,55.43,0,0,2,8,3,106,289.2,3,2533,85,3/15,29.81,8.44,20.70,0,2,24
AJ Tye,459508,27,13,4,91,6,12.61,40,118.89,0,0,2,6,5,106,103,0,872,40,1/50,28.99,9.31,17.27,3,1,7
Arshdeep Singh,1125976,18,3,2,2,1*,2.00,6,33.33,0,0,1,0,0,104,57.1,1,509,24,5/32,21.20,8.90,14.20,0,1,4
CV Varun,1108375,22,5,2,12,7*,2.00,19,31.58,0,0,1,0,0,105,87,0,623,28,5/20,28.39,9.33,18.30,0,1,4
A Zampa,379504,14,2,0,5,5,1.25,8,31.25,0,0,1,1,0,100,47.5,0,370,21,1/12,30.32,7.95,22.30,0,1,1
B Kumar,326016,127,48,22,205,24*,8.15,112,98.08,0,0,5,20,3,107,471.3,8,3447,139,5/19,26.84,7.10,22.85,2,1,27
MS Dhoni,28081,212,187,70,"4,672",101*,36.64,2962,131.57,0,23,4,317,217,102,0,0,0,0,,0.00,0.00,0.00,0,0,118
F du Plessis,44828,92,85,9,"2,622",96,32.73,1835,128.92,0,20,5,234,86,102,1,0,16,0,,0.00,8.00,0.00,0,0,60
DJ Bravo,51439,145,106,39,"1,533",70*,19.95,706,125.43,0,5,4,118,65,102,466.5,2,3908,159,4/42,26.64,8.45,18.87,2,0,76
SM Curran,662973,30,22,8,333,55*,23.78,166,158.05,0,2,3,30,18,102,100,0,884,32,3/19,28.90,9.08,19.00,1,0,10
MA Agarwal,398438,96,91,4,"2,017",68,18.64,826,122.61,1,10,6,192,80,104,0,0,0,0,,0.00,0.00,0.00,0,0,39
SS Tiwary,35390,89,71,21,"1,429",61,19.36,504,124.20,0,8,1,106,48,101,0,0,0,0,,0.00,0.00,0.00,0,0,25
RD Gaikwad,1060380,14,14,3,488,88*,44.36,379,128.75,0,6,2,50,15,102,0,0,0,0,,0.00,0.00,0.00,0,0,7
RA Tripathi,446763,53,51,5,"1,175",93,25.63,319,135.31,0,6,1,116,41,105,1,0,12,0,,0.00,4.00,0.00,0,0,19
AM Rahane,277916,151,141,16,"3,941",74,24.84,2291,114.09,2,28,13,417,76,103,1,0,5,1,,1.25,1.25,1.50,0,0,58
SPD Smith,267192,101,91,21,"2,437",79*,34.47,843,125.28,1,11,1,221,59,103,0.2,0,5,0,,0.00,3.75,0.00,0,0,51
RA Jadeja,234675,192,146,59,"2,316",62*,27.21,933,123.85,0,2,6,169,82,102,476.7,2,3644,120,5/16,36.12,7.50,28.58,3,1,76
CH Morris,439952,78,49,23,604,82*,17.44,266,141.81,0,2,8,39,35,106,275.4,1,2190,94,4/23,22.92,7.73,17.75,4,0,38
SK Raina,33335,201,196,29,"5,495",101,33.21,3399,136.39,1,39,8,503,202,102,151.2,0,1118,25,2/0,111.46,7.79,82.15,0,0,106
AT Rayudu,33141,167,157,29,"3,795",81*,31.25,1915,128.25,1,20,13,314,145,102,0,0,0,0,,0.00,0.00,0.00,0,0,56
MM Ali,8917,26,24,2,515,66,25.01,195,156.10,0,4,2,43,35,102,58.1,0,398,15,3/7,24.40,6.57,21.95,0,0,6
S Dhawan,28235,185,184,25,"5,619",106*,32.39,2026,123.60,2,44,10,640,117,103,8,0,66,4,,4.13,2.06,3.00,0,0,82
