Player,Player ID,Full Name,IPL Team key
LE Plunkett,19264,Liam Plunkett,103
AR Patel,554691,Axar Patel,103
RR Pant,931581,Rishabh Pant,103
A Nortje,481979,Anrich Nortje,103
S Nadeem,31872,Shahbaz Nadeem,107
MM Ali,8917,Moeen Ali,102
Mohammed Shami,481896,Mohammed Shami,104
GJ Maxwell,325026,Glenn Maxwell,100
S Kaul,326017,Siddarth Kaul,107
KD Karthik,30045,Dinesh Karthik,105
SS Iyer,642519,Shreyas Iyer,103
SO Hetmyer,670025,Shimron Hetmyer,103
MC Henriques,5961,Moises Henriques,104
C Munro,232359,Colin Munro,103
PJ Cummins,489889,Pat Cummins,105
CR Brathwaite,457249,Carlos Brathwaite,105
Avesh Khan,694211,Avesh Khan,103
V Shankar,477021,Vijay Shankar,107
WP Saha,279810,Wriddhiman Saha,107
S Dhawan,28235,Shikhar Dhawan,103
L Ngidi,542023,Lungi Ngidi,102
MJ Santner,502714,Mitchell Santner,102
AJ Finch,5334,Aaron Finch,104
CH Morris,439952,Chris Morris,106
SK Raina,33335,Suresh Raina,102
AT Rayudu,33141,Ambati Rayudu,102
Abhishek Sharma,1070183,Abhishek Sharma,107
KV Sharma,30288,Karn Sharma,102
KM Jadhav,290716,Kedar Jadhav,102
RA Jadeja,234675,Ravindra Jadeja,102
JO Holder,391485,Jason Holder,107
A Zampa,379504,Adam Zampa,100
A Mishra,31107,Amit Mishra,103
Washington Sundar,719715,Washington Sundar,100
Q de Kock,379143,Quinton de Kock,101
JR Hazlewood,288284,Josh Hazlewood,102
BA Stokes,311158,Ben Stokes,106
SPD Smith,267192,Steve Smith,103
AM Rahane,277916,Ajinkya Rahane,103
TA Boult,277912,Trent Boult,101
RD Chahar,1064812,Rahul Chahar,101
RA Tripathi,446763,Rahul Tripathi,105
NM Coulter-Nile,261354,Nathan Coulter-Nile,101
LH Ferguson,493773,Lockie Ferguson,105
M Ashwin,528067,Murugan Ashwin,104
RD Gaikwad,1060380,Ruturaj Gaikwad,102
JD Unadkat,390484,Jaydev Unadkat,106
SS Tiwary,35390,Saurabh Tiwary,101
MA Agarwal,398438,Mayank Agarwal,104
