Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
12741,DS Kulkarni,10,1,1,5,5*,0,3,166.66,0,0,0,1,0,106,277955,2019
12741,Sandeep Sharma,11,2,2,6,5*,0,3,200,0,0,0,1,0,107,438362,2019
12741,I Sharma,13,3,3,10,10*,0,3,333.33,0,0,0,1,1,101,236779,2019
13533,JJ Bumrah,15,1,1,5,5*,0,3,166.66,0,0,0,0,0,101,625383,2020
13533,RD Chahar,15,1,1,2,2*,0,4,50,0,0,0,0,0,101,1064812,2020
13533,T Natarajan,16,3,3,3,3*,0,5,60,0,0,0,0,0,107,802575,2020
12741,AJ Turner,4,4,1,3,3*,1,10,30,0,0,3,0,0,106,500268,2019
13840,SP Narine,5,4,0,10,6,2.5,15,66.66,0,0,2,2,0,101,230558,2021
13533,RD Gaikwad,6,6,2,204,72,51,169,120.71,0,3,2,16,6,102,1060380,2020
13533,Mandeep Singh,7,7,1,130,66*,21.66,109,119.26,0,1,2,10,4,101,398506,2020
12741,P Negi,7,4,0,9,5,2.25,12,75,0,0,2,1,0,100,530773,2019
13840,Rashid Khan,8,5,0,39,22,7.8,32,121.87,0,0,3,3,2,107,793463,2021
12741,KMA Paul,8,6,1,18,7,3.6,24,75,0,0,2,1,1,101,677081,2019
13840,F du Plessis,8,8,2,320,95*,53.33,223,143.49,0,4,2,29,13,102,44828,2021
13840,RD Chahar,8,4,0,14,8,3.5,14,100,0,0,2,1,0,101,1064812,2021
13840,EJG Morgan,8,7,1,92,47*,15.33,82,112.19,0,0,2,7,4,101,24598,2021
13840,N Pooran,8,7,0,60,32,8.57,55,109.09,0,0,4,3,3,101,604302,2021
12741,Kuldeep Yadav,9,4,2,12,10*,6,8,150,0,0,2,1,0,101,559235,2019
13533,AM Rahane,9,8,0,113,60,14.12,107,105.6,0,1,2,12,2,101,277916,2020
12741,CH Morris,9,6,0,32,17,5.33,37,86.48,0,0,3,1,2,101,439952,2019
12741,MP Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10,100,325012,2019
13533,SP Narine,10,9,0,121,64,13.44,85,142.35,0,1,2,10,8,101,230558,2020
13533,R Parag,12,8,1,86,42*,12.28,77,111.68,0,0,2,6,3,106,1079434,2020
13533,PP Shaw,13,13,0,228,66,17.53,167,136.52,0,2,3,27,8,101,1070168,2020
12741,CA Lynn,13,13,0,405,82,31.15,290,139.65,0,4,2,41,22,101,326637,2019
12741,S Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,2,8,1,106,344580,2019
13533,SV Samson,14,14,1,375,85,28.84,236,158.89,0,3,2,21,26,106,425943,2020
13533,SM Curran,14,11,3,186,52,23.25,141,131.91,0,1,2,12,12,102,662973,2020
12741,R Ashwin,14,6,1,42,17*,8.4,28,150,0,0,2,3,3,101,26421,2019
13533,N Rana,14,14,0,352,87,25.14,254,138.58,0,3,3,43,12,101,604527,2020
13533,KD Karthik,14,14,2,169,58,14.08,134,126.11,0,1,3,20,4,101,30045,2020
12741,Rashid Khan,15,8,3,34,17*,6.8,23,147.82,0,0,3,2,2,107,793463,2019
13533,SA Yadav,16,15,3,480,79*,40,331,145.01,0,4,2,61,11,101,446507,2020
13533,S Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,4,67,12,101,28235,2020
12741,AT Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,2,20,7,102,33141,2019
12741,SR Watson,17,17,0,398,96,23.41,312,127.56,0,3,3,42,20,102,8180,2019
12741,JM Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,1,48,18,107,297433,2019
12741,SV Samson,12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13,106,425943,2019
12741,AM Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,106,277916,2019
13533,YBK Jaiswal,3,3,0,40,34,13.33,44,90.9,0,0,1,2,2,106,1151278,2020
