Player ID,Player,IPL Team key,IPL Team Name
8917,MM Ali,102,Chennai Super Kings
481896,Mohammed Shami,104,Punjab Kings
325026,GJ Maxwell,100,Royal Challengers Bangalore
326017,S Kaul,107,Sunrisers Hyderabad
30045,KD Karthik,105,Kolkata Knight Riders
642519,SS Iyer,103,Delhi Capitals
670025,SO Hetmyer,103,Delhi Capitals
5961,MC Henriques,104,Punjab Kings
232359,C Munro,103,Delhi Capitals
489889,PJ Cummins,105,Kolkata Knight Riders
457249,CR Brathwaite,105,Kolkata Knight Riders
694211,Avesh Khan,103,Delhi Capitals
477021,V Shankar,107,Sunrisers Hyderabad
279810,WP Saha,107,Sunrisers Hyderabad
28235,S Dhawan,103,Delhi Capitals
542023,L Ngidi,102,Chennai Super Kings
502714,MJ Santner,102,Chennai Super Kings
5334,AJ Finch,104,Punjab Kings
439952,CH Morris,106,Rajasthan Royals
33335,SK Raina,102,Chennai Super Kings
33141,AT Rayudu,102,Chennai Super Kings
1070183,Abhishek Sharma,107,Sunrisers Hyderabad
30288,KV Sharma,102,Chennai Super Kings
290716,KM Jadhav,102,Chennai Super Kings
234675,RA Jadeja,102,Chennai Super Kings
391485,JO Holder,107,Sunrisers Hyderabad
379504,A Zampa,100,Royal Challengers Bangalore
31107,A Mishra,103,Delhi Capitals
719715,Washington Sundar,100,Royal Challengers Bangalore
379143,Q de Kock,101,Mumbai Indians
288284,JR Hazlewood,102,Chennai Super Kings
311158,BA Stokes,106,Rajasthan Royals
267192,SPD Smith,103,Delhi Capitals
277916,AM Rahane,103,Delhi Capitals
277912,TA Boult,101,Mumbai Indians
1064812,RD Chahar,101,Mumbai Indians
446763,RA Tripathi,105,Kolkata Knight Riders
261354,NM Coulter-Nile,101,Mumbai Indians
493773,LH Ferguson,105,Kolkata Knight Riders
528067,M Ashwin,104,Punjab Kings
1060380,RD Gaikwad,102,Chennai Super Kings
390484,JD Unadkat,106,Rajasthan Royals
35390,SS Tiwary,101,Mumbai Indians
398438,MA Agarwal,104,Punjab Kings
662973,SM Curran,102,Chennai Super Kings
272450,MR Marsh,107,Sunrisers Hyderabad
51439,DJ Bravo,102,Chennai Super Kings
475281,SN Thakur,102,Chennai Super Kings
1083030,KM Asif,102,Chennai Super Kings
40618,Imran Tahir,102,Chennai Super Kings
44828,F du Plessis,102,Chennai Super Kings
232364,TG Southee,100,Royal Challengers Bangalore
28081,MS Dhoni,102,Chennai Super Kings
447261,DL Chahar,102,Chennai Super Kings
44936,AB de Villiers,100,Royal Challengers Bangalore
26421,R Ashwin,103,Delhi Capitals
495551,SS Cottrell,104,Punjab Kings
